step,train/loss,val/bpb,total_training_time
0,10.39655876159668,,0.0
100,6.800936849562901,,618.0539960861206
200,6.1487824287822965,,1307.2203030586243
250,,2.046942539639528,1645.133933544159
300,6.16251529940354,,1996.9939126968384
400,5.440673609617415,,2678.9920043945312
500,,1.842758509706519,3359.5759403705597
600,5.059830327347169,,4065.9839613437653
700,4.780512882510008,,4755.075617790222
750,,1.6841186866212237,5092.611054420471
800,4.660774663397101,,5443.910550117493
900,4.25942921626423,,6132.615403413773
1000,4.288590436934784,,6821.273807048798
1100,4.008643607192002,,7510.0033922195435
1200,3.877511454732594,,8198.71537566185
1250,,1.4410615248692922,8536.133203029633
1300,3.6647606026437236,,8887.289861679077
1400,3.8988833124255726,,9576.006324768066
1500,3.8678854240930876,,10264.747927427292
1600,3.583948228965951,,10953.530341148376
1700,3.91066152607893,,11642.249527692795
1750,,1.341897113467084,11979.7351167202
1800,3.818549206416477,,12330.975790977478
1900,3.7749257722565517,,13019.640645503998
2000,,1.3093258260125678,13701.528628349304
